PropertyNumber,Suburb,State,Postcode,Category,PropertySalePrice,from_unixtime(PropertySaleDate),NumberOfBedrooms
122034902,Footscray,Vic,3011,Unit,272000,"2016-06-20 00:00:00",2
122041886,Footscray,Vic,3011,Flat,390000,"2016-04-22 00:00:00",2
122043254,Footscray,Vic,3011,House,820000,"2016-05-16 00:00:00",3
122099822,Footscray,Vic,3011,House,892000,"2016-03-08 00:00:00",7
122110798,Footscray,Vic,3011,House,765000,"2016-05-19 00:00:00",3
122111734,Footscray,Vic,3011,House,681000,"2016-04-02 00:00:00",3
122113574,Footscray,Vic,3011,House,716000,"2016-03-24 00:00:00",3
122152154,Footscray,Vic,3011,Apartment,279000,"2016-06-11 00:00:00",1
122174190,Footscray,Vic,3011,Apartment,600000,"2016-04-14 00:00:00",3
122175730,Footscray,Vic,3011,Unit,215000,"2016-04-16 00:00:00",1
122177102,Footscray,Vic,3011,House,755000,"2016-04-07 00:00:00",2
122177790,Footscray,Vic,3011,House,685000,"2016-04-16 00:00:00",5
122179538,Footscray,Vic,3011,House,730500,"2016-04-09 00:00:00",3
122182310,Footscray,Vic,3011,Apartment,375000,"2016-04-16 00:00:00",1
122185854,Footscray,Vic,3011,Apartment,121000,"2016-03-30 00:00:00",2
122186194,Footscray,Vic,3011,House,745000,"2016-04-09 00:00:00",3
122190962,Footscray,Vic,3011,House,858000,"2016-04-16 00:00:00",3
122200310,Footscray,Vic,3011,Unit,615000,"2016-04-16 00:00:00",2
122206414,Footscray,Vic,3011,House,583000,"2016-04-23 00:00:00",3
122226890,Footscray,Vic,3011,Apartment,300000,"2016-04-12 00:00:00",2
122231790,Footscray,Vic,3011,Apartment,350000,"2016-09-02 00:00:00",1
122257994,Footscray,Vic,3011,House,742500,"2016-04-30 00:00:00",3
122278694,Footscray,Vic,3011,Apartment,400000,"2016-04-13 00:00:00",2
122302126,Footscray,Vic,3011,House,960000,"2016-04-30 00:00:00",3
122305614,Footscray,Vic,3011,Apartment,405000,"2016-04-29 00:00:00",2
122341394,Footscray,Vic,3011,Townhouse,525000,"2016-04-04 00:00:00",3
122343818,Footscray,Vic,3011,House,752000,"2016-04-14 00:00:00",2
122351982,Footscray,Vic,3011,House,730000,"2016-04-30 00:00:00",3
122360578,Footscray,Vic,3011,Apartment,266000,"2016-06-15 00:00:00",2
122361766,Footscray,Vic,3011,Villa,375000,"2016-05-07 00:00:00",2
122365174,Footscray,Vic,3011,House,731000,"2016-05-07 00:00:00",1
122400282,Footscray,Vic,3011,House,660000,"2016-05-05 00:00:00",2
122401450,Footscray,Vic,3011,House,605000,"2016-05-07 00:00:00",2
122401454,Footscray,Vic,3011,House,602000,"2016-05-07 00:00:00",2
122401470,Footscray,Vic,3011,House,601000,"2016-05-07 00:00:00",2
122401930,Footscray,Vic,3011,Apartment,305000,"2016-08-30 00:00:00",1
122404170,Footscray,Vic,3011,House,736000,"2016-05-07 00:00:00",2
122411958,Footscray,Vic,3011,Townhouse,535000,"2016-07-29 00:00:00",3
122436590,Footscray,Vic,3011,Villa,520000,"2016-05-07 00:00:00",2
122440630,Footscray,Vic,3011,House,780000,"2016-05-14 00:00:00",3
122458722,Footscray,Vic,3011,House,932000,"2016-05-14 00:00:00",5
122462334,Footscray,Vic,3011,Townhouse,603000,"2016-05-13 00:00:00",3
122466790,Footscray,Vic,3011,House,858000,"2016-05-04 00:00:00",2
122496382,Footscray,Vic,3011,Apartment,417500,"2016-05-21 00:00:00",2
122498242,Footscray,Vic,3011,Apartment,395000,"2016-05-23 00:00:00",2
122501722,Footscray,Vic,3011,Apartment,565000,"2016-04-22 00:00:00",3
122528302,Footscray,Vic,3011,Apartment,283500,"2016-06-27 00:00:00",2
122535062,Footscray,Vic,3011,House,800000,"2016-06-23 00:00:00",4
122538530,Footscray,Vic,3011,House,600000,"2016-05-17 00:00:00",3
122544006,Footscray,Vic,3011,Unit,266888,"2016-06-06 00:00:00",2
122555954,Footscray,Vic,3011,Apartment,0,"2016-06-06 00:00:00",2
